,frequency,docIDs
зважав,5,"[0, 1, 5, 7, 10]"
виправдуючись,1,[0]
ластівко,1,[0]
телеграмаблискавка,1,[0]
йолопи,1,[0]
збивши,1,[0]
дзеленчали,1,[0]
краса,9,"[0, 4, 5, 8, 9, 11, 13, 14, 17]"
інквізицією,1,[0]
втомила,1,[0]
тамтешній,1,[0]
годинник,4,"[0, 6, 10, 13]"
передусім,3,"[0, 7, 10]"
втрати,5,"[0, 4, 7, 10, 13]"
цвіло,2,"[0, 8]"
затишок,2,"[0, 10]"
пошпурила,1,[0]
помовчавши,6,"[0, 4, 5, 7, 9, 11]"
звалось,2,"[0, 8]"
вгорі,10,"[0, 1, 5, 7, 10, 11, 12, 13, 15, 17]"
вирушав,2,"[0, 10]"
бідняга,1,[0]
столиця,2,"[0, 11]"
диви,4,"[0, 7, 11, 16]"
поспішали,6,"[0, 4, 5, 8, 10, 15]"
розумів,7,"[0, 1, 4, 7, 10, 12, 15]"
етапи,1,[0]
насторожено,1,[0]
велів,7,"[0, 1, 4, 7, 9, 12, 17]"
веселкової,1,[0]
купить,5,"[0, 4, 7, 8, 17]"
головах,10,"[0, 1, 4, 5, 7, 8, 11, 12, 15, 17]"
безцеремонне,1,[0]
тривожної,2,"[0, 1]"
пляшок,2,"[0, 10]"
сп'янілий,1,[0]
дружки,3,"[0, 5, 8]"
вік,14,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17]"
наледі,1,[0]
дихає,1,[0]
полтавку,1,[0]
розходилась,4,"[0, 4, 7, 17]"
се,12,"[0, 1, 3, 4, 5, 7, 8, 9, 11, 13, 15, 17]"
наталки,1,[0]
отже,11,"[0, 1, 4, 5, 7, 8, 9, 10, 12, 14, 16]"
спустився,6,"[0, 1, 4, 7, 8, 10]"
переганяючи,2,"[0, 4]"
японської,1,[0]
чорнотою,1,[0]
лишався,3,"[0, 10, 12]"
випередила,1,[0]
загинула,1,[0]
поставало,1,[0]
останнього,6,"[0, 4, 5, 7, 9, 10]"
промовила,10,"[0, 4, 5, 6, 7, 8, 10, 11, 12, 17]"
рушав,2,"[0, 12]"
одставала,1,[0]
славного,6,"[0, 1, 4, 5, 8, 14]"
невдалий,1,[0]
учора,11,"[0, 1, 4, 5, 7, 8, 10, 11, 12, 13, 14]"
заридає,1,[0]
незугарний,1,[0]
розсипані,2,"[0, 10]"
бунтуватись,1,[0]
вівсом,2,"[0, 1]"
чіплявся,1,[0]
місяць,15,"[0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
молитву,8,"[0, 2, 4, 5, 7, 8, 14, 15]"
батьківщина,2,"[0, 8]"
сухого,6,"[0, 1, 4, 9, 11, 15]"
каже,15,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
переможцею,1,[0]
угадав,1,[0]
співав,10,"[0, 4, 5, 7, 8, 9, 10, 11, 16, 17]"
висотані,1,[0]
суддя,6,"[0, 4, 5, 7, 10, 11]"
граційна,1,[0]
випередити,1,[0]
повантажив,1,[0]
доведеться,7,"[0, 4, 5, 8, 10, 14, 17]"
синьою,2,"[0, 8]"
гільза,1,[0]
мотивуючи,1,[0]
важкі,6,"[0, 1, 4, 13, 15, 17]"
котрактували,1,[0]
рослинний,1,[0]
пилка,1,[0]
озвучена,1,[0]
галявині,1,[0]
бокаса,1,[0]
петляючи,1,[0]
потоптати,3,"[0, 1, 8]"
начастували,1,[0]
певним,4,"[0, 1, 7, 10]"
вшелепкається,1,[0]
бажання,9,"[0, 1, 4, 7, 9, 10, 13, 14, 15]"
бачимо,3,"[0, 5, 8]"
звалиться,1,[0]
квло,1,[0]
доповнювали,1,[0]
поганяй,2,"[0, 17]"
лежанці,1,[0]
перевірить,1,[0]
з'їхав,4,"[0, 10, 16, 17]"
четвертому,1,[0]
харчу,1,[0]
екзотичніший,1,[0]
степ,8,"[0, 4, 6, 7, 8, 10, 11, 12]"
командують,1,[0]
рипіння,2,"[0, 10]"
пити,13,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 14, 17]"
шалені,1,[0]
зубів,8,"[0, 4, 7, 10, 12, 15, 16, 17]"
росу,3,"[0, 2, 8]"
двох,11,"[0, 1, 4, 5, 7, 8, 10, 11, 15, 16, 17]"
тримає,4,"[0, 7, 11, 15]"
зціплював,2,"[0, 10]"
спокою,10,"[0, 1, 3, 4, 5, 7, 9, 10, 15, 17]"
свіжіший,1,[0]
зникають,4,"[0, 6, 9, 10]"
шкірі,1,[0]
тунгузи,1,[0]
доступне,1,[0]
висмикнув,4,"[0, 4, 12, 17]"
приробили,1,[0]
пруг,1,[0]
кулинкою,1,[0]
днем,5,"[0, 1, 4, 6, 8]"
ширини,1,[0]
густіший,1,[0]
знеосіблених,1,[0]
зубрів,1,[0]
попідіймали,1,[0]
колосальних,3,"[0, 7, 10]"
в'юками,1,[0]
заслуги,2,"[0, 1]"
тямиш,4,"[0, 1, 4, 16]"
юшкою,1,[0]
поступає,2,"[0, 9]"
махнула,7,"[0, 4, 5, 7, 10, 14, 17]"
благословенного,1,[0]
відгукнулася,1,[0]
потоптався,1,[0]
віхолу,1,[0]
бадьоро,4,"[0, 10, 12, 15]"
другій,10,"[0, 1, 4, 5, 7, 8, 9, 10, 16, 17]"
існували,1,[0]
слідомслідом,1,[0]
рюкзаки,1,[0]
набої,1,[0]
цідили,1,[0]
знизав,2,"[0, 10]"
благословила,1,[0]
негодні,1,[0]
вирушати,3,"[0, 6, 7]"
копали,5,"[0, 1, 2, 8, 10]"
узяли,6,"[0, 1, 4, 5, 7, 8]"
уторованим,1,[0]
проживеш,1,[0]
розкажеш,5,"[0, 4, 8, 10, 16]"
велетенською,1,[0]
творячи,2,"[0, 7]"
якутів,1,[0]
прийти,10,"[0, 1, 5, 7, 8, 10, 12, 14, 15, 17]"
обидві,8,"[0, 4, 5, 8, 9, 11, 15, 17]"
здалека,9,"[0, 1, 4, 7, 8, 9, 10, 13, 17]"
гарний,10,"[0, 1, 4, 5, 7, 9, 10, 11, 16, 17]"
спалахнула,4,"[0, 6, 9, 17]"
бажаними,1,[0]
вирішило,2,"[0, 10]"
боляче,4,"[0, 4, 10, 12]"
взяв,13,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 16, 17]"
непотрухлі,1,[0]
стелиться,3,"[0, 10, 13]"
горіла,10,"[0, 1, 4, 5, 7, 8, 10, 12, 15, 17]"
плодяться,1,[0]
рикошет,1,[0]
проскочити,2,"[0, 12]"
нетрам,1,[0]
тісна,3,"[0, 4, 9]"
літа,13,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 17]"
витвір,1,[0]
марнуючи,1,[0]
розглядини,2,"[0, 17]"
перезираються,1,[0]
ааа,4,"[0, 4, 11, 12]"
відвертає,1,[0]
цими,6,"[0, 2, 4, 8, 10, 16]"
невиспаної,1,[0]
сподівались,2,"[0, 5]"
совгається,1,[0]
чужа,8,"[0, 5, 6, 7, 8, 10, 11, 16]"
забували,2,"[0, 4]"
поводитись,1,[0]
сантиметрів,2,"[0, 10]"
ковніри,1,[0]
мерехтять,1,[0]
іншов,1,[0]
білені,1,[0]
боклажок,1,[0]
контингент,1,[0]
лицарські,2,"[0, 8]"
поцілунок,4,"[0, 4, 9, 10]"
навздогін,8,"[0, 1, 3, 4, 5, 10, 11, 12]"
раділа,3,"[0, 4, 8]"
казкову,2,"[0, 10]"
крихітко,1,[0]
дроту,2,"[0, 12]"
пунктах,3,"[0, 5, 16]"
симбіоз,1,[0]
вступив,5,"[0, 1, 4, 7, 8]"
ворушила,1,[0]
осінньої,4,"[0, 1, 7, 10]"
новакові,1,[0]
вогнями,3,"[0, 10, 15]"
вивчені,1,[0]
доганяли,1,[0]
тримав,7,"[0, 2, 7, 10, 11, 12, 15]"
людп,1,[0]
тюків,1,[0]
метнувся,5,"[0, 4, 6, 7, 8]"
григорія,3,"[0, 7, 11]"
очко,1,[0]
годувати,8,"[0, 1, 4, 5, 7, 8, 15, 17]"
порубане,1,[0]
вибухи,1,[0]
поїли,4,"[0, 4, 7, 8]"
перелякався,5,"[0, 4, 7, 8, 17]"
представлення,2,"[0, 1]"
уляглась,2,"[0, 1]"
стариків,1,[0]
труситься,5,"[0, 4, 8, 16, 17]"
приголомшили,1,[0]
проводжають,1,[0]
вліз,5,"[0, 4, 7, 8, 17]"
порушник,1,[0]
опираючись,2,"[0, 1]"
посідають,2,"[0, 8]"
маленьку,9,"[0, 3, 4, 7, 8, 9, 10, 12, 17]"
базу,3,"[0, 10, 14]"
посувався,3,"[0, 4, 15]"
волохатий,2,"[0, 6]"
геей,2,"[0, 7]"
сіли,9,"[0, 4, 5, 7, 8, 10, 15, 16, 17]"
бабусі,6,"[0, 4, 5, 7, 10, 12]"
олімпіяда,1,[0]
запасали,1,[0]
крикнув,12,"[0, 1, 4, 5, 7, 8, 10, 11, 12, 14, 15, 17]"
маків,1,[0]
провела,4,"[0, 4, 8, 11]"
стовбурами,1,[0]
надрах,2,"[0, 10]"
створює,1,[0]
дайош,1,[0]
невелике,2,"[0, 4]"
підтягши,1,[0]
амур,1,[0]
знущання,2,"[0, 10]"
питати,8,"[0, 1, 4, 5, 7, 8, 9, 10]"
поточився,2,"[0, 4]"
лоба,6,"[0, 4, 8, 14, 15, 17]"
забайкальські,1,[0]
котрий,9,"[0, 1, 2, 4, 7, 10, 11, 16, 17]"
грицьку,3,"[0, 4, 17]"
орденоносного,1,[0]
корості,1,[0]
помащені,1,[0]
журно,3,"[0, 10, 12]"
комсомольськ,1,[0]
державних,2,"[0, 1]"
робітничоселянської,1,[0]
відрядженні,1,[0]
стали,13,"[0, 1, 3, 4, 5, 7, 8, 9, 10, 12, 15, 16, 17]"
чердаку,1,[0]
черепом,1,[0]
невісток,4,"[0, 7, 10, 17]"
сумками,1,[0]
блискучими,7,"[0, 1, 4, 7, 9, 10, 17]"
сліпучим,1,[0]
піки,1,[0]
падала,4,"[0, 1, 3, 4]"
халупи,2,"[0, 10]"
вдерлися,1,[0]
пам'ятником,1,[0]
омана,4,"[0, 5, 10, 13]"
перекипеній,1,[0]
щирість,3,"[0, 4, 7]"
буйнім,1,[0]
рослину,1,[0]
пустельник,2,"[0, 11]"
нишпорили,1,[0]
городі,8,"[0, 4, 5, 6, 7, 8, 16, 17]"
смертники,1,[0]
спец,1,[0]
кооператорів,1,[0]
мовити,4,"[0, 1, 5, 14]"
слідчого,1,[0]
шкарубату,1,[0]
далі,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
розчавлював,1,[0]
ніщо,9,"[0, 1, 3, 4, 5, 7, 10, 13, 15]"
спустилась,3,"[0, 8, 9]"
оскаженілі,1,[0]
кропивою,3,"[0, 4, 8]"
божебоже,2,"[0, 8]"
збігцем,1,[0]
ведмежаті,1,[0]
небуття,3,"[0, 11, 15]"
решту,9,"[0, 2, 6, 7, 8, 10, 12, 13, 15]"
призвичаєні,2,"[0, 4]"
схилі,1,[0]
неправильно,3,"[0, 7, 14]"
міцноміцно,2,"[0, 4]"
жалю,10,"[0, 4, 5, 7, 8, 10, 11, 15, 16, 17]"
втрапить,3,"[0, 10, 11]"
піднесена,2,"[0, 10]"
заваримо,1,[0]
вепрів,1,[0]
баюр,1,[0]
олив'яними,1,[0]
соли,1,[0]
почепленою,1,[0]
коротенька,1,[0]
контрагенти,1,[0]
лишень,8,"[0, 1, 4, 5, 8, 10, 12, 17]"
спишу,2,"[0, 8]"
ввійшли,5,"[0, 1, 4, 5, 17]"
запхав,1,[0]
липка,1,[0]
сильним,4,"[0, 7, 13, 15]"
плюгавий,1,[0]
доглянути,2,"[0, 7]"
боялась,9,"[0, 4, 5, 8, 9, 10, 11, 15, 17]"
позривало,1,[0]
подібні,2,"[0, 1]"
врозтіч,6,"[0, 1, 4, 5, 9, 11]"
догнать,2,"[0, 17]"
вартових,2,"[0, 1]"
географією,1,[0]
притороченої,1,[0]
викручувала,1,[0]
пописану,1,[0]
зарепетувала,2,"[0, 17]"
сонцю,4,"[0, 1, 10, 11]"
дістанеться,4,"[0, 1, 10, 12]"
блимав,2,"[0, 4]"
риданням,1,[0]
проломинах,1,[0]
вповні,4,"[0, 1, 4, 7]"
блакитній,4,"[0, 10, 12, 15]"
встала,11,"[0, 1, 3, 4, 5, 7, 8, 9, 14, 15, 17]"
шаром,1,[0]
мовив,7,"[0, 1, 5, 7, 8, 10, 11]"
троїлось,1,[0]
гігантським,1,[0]
марійці,2,"[0, 7]"
поплатитися,1,[0]
місцеву,1,[0]
улітку,4,"[0, 8, 10, 11]"
зірвана,1,[0]
буднів,2,"[0, 10]"
оберемком,2,"[0, 9]"
смеркло,3,"[0, 4, 8]"
падати,5,"[0, 1, 4, 10, 12]"
скель,3,"[0, 10, 15]"
досить,8,"[0, 1, 5, 6, 7, 10, 11, 14]"
купчились,1,[0]
професором,2,"[0, 10]"
спускались,2,"[0, 15]"
рудуватобурий,1,[0]
перепочивши,2,"[0, 12]"
зайві,3,"[0, 4, 10]"
руку,16,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
злегка,4,"[0, 1, 7, 15]"
вдачу,6,"[0, 1, 4, 7, 9, 10]"
кастрюль,1,[0]
вхопивши,3,"[0, 1, 4]"
опанувала,3,"[0, 1, 10]"
піднімаючись,1,[0]
злізьте,1,[0]
собачий,3,"[0, 7, 8]"
всесвітньої,4,"[0, 8, 10, 14]"
ніхто,16,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
вятської,1,[0]
стендаля,2,"[0, 8]"
тигри,2,"[0, 1]"
дотепів,1,[0]
урсус,1,[0]
вихилясами,2,"[0, 8]"
претензійний,1,[0]
вивчився,5,"[0, 4, 8, 10, 16]"
хмурнів,1,[0]
думайі,1,[0]
пищик,1,[0]
обережно,8,"[0, 1, 3, 4, 7, 10, 14, 15]"
грунті,4,"[0, 1, 10, 17]"
озеро,6,"[0, 1, 8, 9, 11, 15]"
прибивала,1,[0]
підступивши,3,"[0, 4, 5]"
обминайте,2,"[0, 1]"
другий,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
укритих,1,[0]
вбрані,1,[0]
округи,3,"[0, 5, 7]"
пострілом,1,[0]
національної,4,"[0, 8, 10, 14]"
видзвонювали,2,"[0, 12]"
увірветься,2,"[0, 4]"
торохнув,1,[0]
гулі,1,[0]
гострий,6,"[0, 4, 7, 9, 10, 15]"
вхопив,10,"[0, 1, 4, 5, 7, 8, 10, 12, 15, 17]"
передмістя,2,"[0, 10]"
покидали,7,"[0, 1, 5, 7, 8, 12, 15]"
голих,6,"[0, 4, 8, 10, 12, 15]"
матір'ю,8,"[0, 4, 5, 7, 8, 9, 16, 17]"
клацало,1,[0]
будівлю,1,[0]
сонячних,2,"[0, 11]"
вдієш,4,"[0, 4, 5, 14]"
же,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
вернусь,6,"[0, 1, 5, 8, 11, 17]"
опоетизований,1,[0]
попа,6,"[0, 4, 5, 7, 8, 17]"
пробували,3,"[0, 5, 7]"
кажіть,5,"[0, 4, 7, 10, 16]"
сказано,12,"[0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 14, 16]"
іржав,2,"[0, 11]"
становику,1,[0]
лупає,2,"[0, 2]"
сміялася,4,"[0, 4, 7, 8]"
крикнути,5,"[0, 1, 6, 10, 12]"
заливається,2,"[0, 4]"
суджений,3,"[0, 5, 7]"
синіми,4,"[0, 4, 15, 17]"
димлять,1,[0]
контролер,1,[0]
матір,11,"[0, 1, 4, 5, 6, 7, 8, 10, 11, 12, 17]"
запакували,1,[0]
нотку,1,[0]
зовсімзовсім,1,[0]
запитливо,2,"[0, 10]"
чільна,1,[0]
діда,10,"[0, 1, 2, 4, 5, 7, 8, 10, 11, 14]"
да,10,"[0, 4, 5, 6, 8, 10, 12, 14, 16, 17]"
щирою,4,"[0, 5, 7, 10]"
фелікс,1,[0]
кому,15,"[0, 1, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17]"
кінцякраю,1,[0]
всеазійської,1,[0]
комори,10,"[0, 1, 4, 5, 8, 9, 10, 11, 16, 17]"
заткнули,1,[0]
розуміла,3,"[0, 4, 10]"
верхи,9,"[0, 1, 4, 5, 7, 8, 10, 15, 17]"
граніци,1,[0]
одійшов,8,"[0, 4, 5, 6, 10, 12, 14, 17]"
безкраю,1,[0]
дубів,5,"[0, 1, 4, 6, 17]"
колеса,9,"[0, 3, 4, 5, 7, 10, 12, 14, 17]"
ненавистю,3,"[0, 4, 7]"
подряпалась,1,[0]
струмочком,2,"[0, 15]"
вимита,1,[0]
мрієш,1,[0]
обідраний,3,"[0, 4, 8]"
спортив,1,[0]
пильнуючи,3,"[0, 7, 10]"
менші,4,"[0, 4, 7, 17]"
тембром,1,[0]
наледь,1,[0]
виснажили,1,[0]
волячу,1,[0]
всесоюзного,1,[0]
здіймаються,5,"[0, 4, 6, 9, 11]"
обвилась,2,"[0, 4]"
підеш,10,"[0, 2, 4, 7, 8, 10, 11, 12, 16, 17]"
приїхала,6,"[0, 4, 5, 10, 12, 14]"
сховавши,2,"[0, 8]"
лишилось,6,"[0, 1, 3, 10, 11, 15]"
кабурі,1,[0]
зупиняючись,2,"[0, 1]"
відчужено,1,[0]
порівнюючи,1,[0]
мертвим,8,"[0, 4, 5, 7, 8, 10, 11, 17]"
гостинця,6,"[0, 1, 5, 7, 8, 17]"
вивозять,2,"[0, 7]"
стану,10,"[0, 1, 4, 5, 7, 8, 10, 11, 16, 17]"
зухвало,3,"[0, 7, 10]"
рай,9,"[0, 1, 4, 7, 8, 10, 11, 13, 17]"
підперши,2,"[0, 17]"
прошепотів,3,"[0, 7, 10]"
грізним,3,"[0, 1, 7]"
круте,1,[0]
менше,10,"[0, 1, 2, 4, 6, 7, 8, 10, 15, 17]"
ступневому,1,[0]
злигодні,3,"[0, 1, 5]"
товариство,8,"[0, 1, 4, 5, 8, 10, 11, 12]"
кутки,4,"[0, 4, 10, 12]"
зазнав,4,"[0, 1, 8, 15]"
молодший,5,"[0, 1, 4, 7, 17]"
кликуном,1,[0]
сергеев,1,[0]
комфорту,1,[0]
брудних,4,"[0, 3, 10, 15]"
тигрище,1,[0]
сміючись,9,"[0, 1, 5, 7, 8, 9, 10, 13, 17]"
камчатського,1,[0]
зухвалі,2,"[0, 10]"
переповідаючії,1,[0]
споряджаються,1,[0]
раптової,3,"[0, 7, 10]"
жаль,15,"[0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
принаймні,6,"[0, 7, 8, 10, 14, 15]"
дивитимемось,1,[0]
заквітчанийзакосичений,1,[0]
грудастий,1,[0]
пирскає,1,[0]
дзвін,12,"[0, 1, 3, 4, 7, 8, 10, 11, 13, 14, 15, 17]"
уповні,2,"[0, 1]"
розв'язання,2,"[0, 7]"
їскає,1,[0]
городському,2,"[0, 14]"
невже,16,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17]"
пастки,2,"[0, 3]"
набивали,2,"[0, 7]"
порозкидати,1,[0]
начувайся,3,"[0, 9, 15]"
якби,16,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
млява,1,[0]
звучання,2,"[0, 8]"
радгоспні,1,[0]
діти,15,"[0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]"
пильно,10,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 12]"
кінчається,3,"[0, 3, 10]"
плюнув,6,"[0, 4, 5, 8, 15, 17]"
густими,4,"[0, 1, 4, 17]"
вірьовки,2,"[0, 5]"
бікін,1,[0]
безрогі,2,"[0, 7]"
шию,13,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 15, 17]"
насмілиться,1,[0]
пилюку,2,"[0, 11]"
попиячили,1,[0]
думці,8,"[0, 1, 4, 5, 7, 10, 15, 17]"
вважати,4,"[0, 1, 7, 10]"
мандрівникові,1,[0]
недосяжне,1,[0]
околицю,3,"[0, 1, 4]"
згадаю,7,"[0, 4, 7, 8, 9, 11, 17]"
вб'єш,3,"[0, 5, 14]"
спіткало,4,"[0, 4, 8, 10]"
упоравшись,5,"[0, 4, 5, 8, 15]"
сідлали,2,"[0, 8]"
порається,2,"[0, 4]"
схоплювались,2,"[0, 10]"
хмурив,1,[0]
розполохані,1,[0]
зводить,7,"[0, 4, 8, 9, 10, 11, 16]"
слухом,1,[0]
янголи,4,"[0, 4, 11, 17]"
наспівував,1,[0]
накази,3,"[0, 1, 7]"
десять,13,"[0, 1, 3, 4, 5, 7, 8, 10, 12, 14, 15, 16, 17]"
нахиливши,1,[0]
озимині,1,[0]
зачудовані,1,[0]
дай,17,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
спритна,1,[0]
українську,4,"[0, 5, 8, 14]"
собачім,1,[0]
прокльони,3,"[0, 4, 7]"
походження,5,"[0, 1, 7, 10, 14]"
асоціацій,1,[0]
витребеньки,2,"[0, 16]"
завинену,1,[0]
ми,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
рудіє,1,[0]
занудився,2,"[0, 11]"
ялиці,2,"[0, 1]"
розмалювала,2,"[0, 4]"
всунула,1,[0]
здивувались,3,"[0, 10, 17]"
іпритом,1,[0]
будь,16,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17]"
скалозубством,1,[0]
жертву,5,"[0, 1, 7, 8, 10]"
голу,5,"[0, 5, 8, 11, 17]"
смужечки,1,[0]
роззявила,2,"[0, 17]"
буфетом,1,[0]
випуску,1,[0]
дєло,1,[0]
двадцятий,2,"[0, 11]"
витріщивши,5,"[0, 1, 4, 7, 8]"
угб,1,[0]
чуб,4,"[0, 11, 14, 16]"
жаринки,3,"[0, 10, 15]"
ізюбрів,1,[0]
неабияким,3,"[0, 7, 8]"
